,,,,,,,,,,,,
№,НАИМЕНОВАНИЯ,ИНН,НДС,Бухгалтер,bank klient,Столбец7,Назоратчи,Столбец10,% банк клиент,% бухгалтер,Ёркиной,Назоратчи  %
156,SPECIAL CARGO SERVICES,,,Go'zaloy,Ruslan,"4,000,000.00",Muslimbek,20.00,"200,000.00",800000,280000,200000
157,VERTEX BETON,,,Humora,Azizbek,"5,000,000.00",Go'zaloy,20.00,"250,000.00",1000000,350000,250000
158,GELATO ICE CREAM,,,Olloshukur,,"3,000,000.00",Go'zaloy,20.00,,600000,210000,150000
159,TERRA AGRO,,,Olloshukur,,"3,000,000.00",Go'zaloy,20.00,,600000,210000,150000
160,"ООО ""SHIRIN SUPER TAOM""",308543061,НДС,Musobek,Ruslan,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
161,ARM INTER GROUP,,,Aziz shogird,,"500,000.00",Musobek,20.00,,100000,35000,25000
162,SHEL A,,,Abrorbek,Azizbek,"1,500,000.00",Go'zaloy,20.00,"75,000.00",300000,105000,75000
163,X PRO TEAM,,,Hasan,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
164,YATT,,,Go'zaloy,,"300,000.00",Muslimbek,20.00,,60000,21000,15000
165,MUROD AKA Yatt lari,,,Zamira,Bekzod,"7,000,000.00",Go'zaloy,20.00,"700,000.00",1400000,490000,350000
166,RICH Y S,,,Olloshukur,,"5,000,000.00",Go'zaloy,20.00,,1000000,350000,250000
167,RAMAZON OF LINE,,,Olloshukur,,"15,000,000.00",Go'zaloy,20.00,,2000000,1050000,750000
168,LINE OF NATURE,,,Olloshukur,,"5,000,000.00",Go'zaloy,20.00,,1000000,350000,250000
169,HOMEBAZAAR YATT,,,Hasan,,"500,000.00",Muslimbek,20.00,,100000,35000,25000
170,GC TRADE,,,Olloshukur,,0.00,Go'zaloy,20.00,,0,0,0
171,ACADEMY RIZOMULK,,,Alisher,,"600,000.00",Musobek,20.00,,120000,42000,30000
172,NEKOVA MAHLIYO bogcha,,,Abrorbek,Ruslan,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
174,SPLENDID SERVICE,,,Humora,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
175,SPLENDID CATERING,,,Humora,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
176,TRUSTLY SERVICE,,,Humora,Azizbek,0.00,Go'zaloy,20.00,,0,0,0
177,Ishonchli Havfsiz Hudud MCHJ,,,Mirabbos,,0.00,Muslimbek,20.00,,0,0,0
178,PAPER EXPERT,,,Abrorbek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
179,TAKSIM-KEBAB TEAM,,,Abdugani,Ruslan,0.00,Go'zaloy,20.00,,0,0,0
180,LEMON FIT,,,Abrorbek,Ruslan,"4,000,000.00",Go'zaloy,20.00,"200,000.00",800000,280000,200000
181,URBAN HEATING GROUP,,,Mirahmad,Ruslan,"10,000,000.00",Go'zaloy,20.00,"500,000.00",2000000,700000,500000
182,ARVAGTEXNIK,,,Mirahmad,Ruslan,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
183,DARVESHI NAVOI,,,Mirahmad,,"5,000,000.00",Muslimbek,20.00,,1000000,350000,250000
184,LIDERS BARAKA,,,Mirahmad,,"5,000,000.00",Muslimbek,20.00,,1000000,350000,250000
185,BORAN LIDERS,,,Mirahmad,,"5,000,000.00",Muslimbek,20.00,,1000000,350000,250000
186,AYOQSH,,,Abdugani,,"3,500,000.00",Go'zaloy,20.00,,700000,245000,175000
187,AZS SHOFAYZ,,,Abdugani,,"3,500,000.00",Go'zaloy,20.00,,700000,245000,175000
188,ELIT CHICKEN,,,Musobek,,"1,000,000.00",Go'zaloy,10.00,,100000,70000,50000
189,VENU,,,Zamira,Bekzod,0.00,Go'zaloy,20.00,,0,0,0
190,FUTURE IT,,,Zamira,Bekzod,0.00,Go'zaloy,20.00,,0,0,0
191,BARQAROR 2018,,,Zamira,Bekzod,0.00,Go'zaloy,20.00,,0,0,0
192,SOFT COMFORT MK4,,,Zamira,Bekzod,0.00,Go'zaloy,20.00,,0,0,0
193,SKY GATE SERVICES,,,Maxmuda,Bekzod,0.00,Go'zaloy,20.00,,0,0,0
194,GEO DRILLING SERVICE,,,Maxmuda,Bekzod,"7,500,000.00",Go'zaloy,20.00,"375,000.00",1500000,525000,375000
195,QULAY BOX,,,Mirabbos,Ruslan,"700,000.00",Muslimbek,20.00,"35,000.00",140000,49000,35000
196,DSKP AMUDARYO,,,Zamira,Ruslan,"14,000,000.00",Go'zaloy,20.00,"700,000.00",2800000,980000,700000
197,SIDDIQ BIZNES,,,Adxam,Azizbek,"5,000,000.00",Muslimbek,20.00,"250,000.00",1000000,350000,250000
198,STIL SERVIS,,,Abdugani,Azizbek,"4,500,000.00",Go'zaloy,20.00,"225,000.00",900000,315000,225000
199,DOSANOV SCHOOL,,,Sevara,,"1,000,000.00",Zamira,20.00,,200000,70000,50000
200,RIELTORLAR PALATASI,,,Mirabbos,,"700,000.00",Muslimbek,20.00,,140000,49000,35000
201,CONSTANT GROWTH,,,Zamira,Azizbek,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
202,Ohangaron Rustam Fayz,302595327,,Kamron,," 1,000,000.00    ",Musobek,20.00,,200000,70000,50000
203,Jizzakh Majic Star,309314757,,Kamron,," 500,000.00    ",Musobek,20.00,,100000,35000,25000
204,Toolstrek Ca,309850241,,Ruslan,Ruslan," 700,000.00    ",Go'zaloy,20.00,"35,000.00",140000,49000,35000
205,Dilorom-Xidoyat,206447841,,Musobek,Azizbek," 9,500,000.00    ",Go'zaloy,20.00,"475,000.00",1900000,665000,475000
206,Tursunxoja Xidoyat,306061553,,Musobek,Azizbek," 9,500,000.00    ",Muslimbek,20.00,"475,000.00",1900000,665000,475000
207,Favvora Fayz,302080350,,Musobek,Azizbek," 1,000,000.00    ",Muslimbek,20.00,"100,000.00",200000,70000,50000
208,WISE-STORE MCHJ,308722764,,Olloshukur,Abdulaziz," 7,000,000.00    ",Go'zaloy,20.00,"350,000.00",1400000,490000,350000
209,Special Building store,312094462,,Olloshukur,, -      ,Go'zaloy,20.00,,0,0,0
210,Stroy Market,305956530,,Olloshukur,Abdulaziz," 3,000,000.00    ",Go'zaloy,20.00,"150,000.00",600000,210000,150000
211,Vazifa Venchur,311910064,,Elbek,Abdulaziz," 500,000.00    ",Musobek,20.00,"25,000.00",100000,35000,25000
212,GRAYD GROUP MCHJ,312391054,,Elbek,Abdulaziz," 500,000.00    ",Musobek,20.00,"25,000.00",100000,35000,25000
213,"""SALOHIDDIN SFX"" MCHJ",312305364,,Elbek,Abdulaziz," 1,000,000.00    ",Musobek,20.00,"50,000.00",200000,70000,50000
214,Goodwill business servis MCHJ,302672681,,Musobek,Azizbek," 8,000,000.00    ",Go'zaloy,20.00,"400,000.00",1600000,560000,400000
215,Saidbek Mustafo MCHJ,304219671,,Elbek,," 6,000,000.00    ",Musobek,20.00,,1200000,420000,300000
216,MIRZAYEVLAR LOGISTICS ,309378456,,Adxam,Abdulaziz," 1,300,000.00    ",Muslimbek,20.00,"65,000.00",260000,91000,65000
217,ORIENT-CHEMICAL ,305846138,,Adxam,," 1,500,000.00    ",Muslimbek,20.00,,300000,105000,75000
218,SHOHRUZ-IMRON-SHERDOR OK ,305578771,,Adxam,Abdulaziz," 800,000.00    ",Muslimbek,20.00,"40,000.00",160000,56000,40000
219,NORBEKOV IT ,30905921571729,,Adxam,," 1,000,000.00    ",Muslimbek,20.00,,200000,70000,50000
220,MIXTRUE SEMENT ,310585944,,Adxam,," 1,000,000.00    ",Muslimbek,20.00,,200000,70000,50000
221,FOREST SCHOOL   ,311250245,,Elbek,Abdulaziz," 2,000,000.00    ",Musobek,20.00,"100,000.00",400000,140000,100000
222,BEST BROOMS ,312405929,,Elbek,," 2,500,000.00    ",Musobek,20.00,,500000,175000,125000
223,LOGAN,311074535,,Abrorbek,Abdulaziz," 6,000,000.00    ",Go'zaloy,20.00,"300,000.00",1200000,420000,300000
224,"""In'tegrity"" MCHJ",309449913,,Mirabbos,Abdulaziz," 1,500,000.00    ",Muslimbek,20.00,"75,000.00",300000,105000,75000
225,YATT Abdurasulova Lola,40806820470047,,Mirabbos,Abdulaziz, -      ,Muslimbek,20.00,0.00,0,0,0
226,"""Omad texno-trans"" MCHJ",310393360,,Adxam,Abdulaziz, -      ,Muslimbek,20.00,0.00,0,0,0
227,YATT Dilova Nigora,40404772720014,,Adxam,Abdulaziz, -      ,Muslimbek,20.00,0.00,0,0,0
228,"""Sunny brand"" OK",307807888,,Adxam,," 1,400,000.00    ",Muslimbek,20.00,,280000,98000,70000
229,"""Dilsevar Hojakbar"" MCHJ",311985232,,Otabek,," 500,000.00    ",Muslimbek,20.00,,100000,35000,25000
230,"""AvloAI"" MCHJ",311494868,,Otabek,Abdulaziz," 500,000.00    ",Muslimbek,20.00,"25,000.00",100000,35000,25000
231,"""Mastercoffee Roaster"" MCHJ",311638211,,Mirabbos,Abdulaziz," 2,500,000.00    ",Muslimbek,20.00,"125,000.00",500000,175000,125000
232,"""Dashtobod aloqa-service"" MCHJ",301844182,,Otabek,," 500,000.00    ",Muslimbek,20.00,,100000,35000,25000
233,EUROSOFT,305976474,,Otabek,Azizbek," 900,000.00    ",Muslimbek,20.00,"45,000.00",180000,63000,45000
234,"""Corsa' MChJ",311817724,,Kamron,Abdulaziz," 700,000.00    ",Musobek,20.00,"35,000.00",140000,49000,35000
235,"""Shox-Muhandis""",312108030,,Kamron,," 1,000,000.00    ",Musobek,20.00,,200000,70000,50000
236,"""Iftixor Holding"" MChJ",312168908,,Kamron,Abdulaziz," 700,000.00    ",Musobek,20.00,"35,000.00",140000,49000,35000
237,Avto nams ,311081052,,Kamron,Abdulaziz," 1,300,000.00    ",Musobek,20.00,"65,000.00",260000,91000,65000
238,Hyper nams ,310817377,,Kamron,Abdulaziz," 1,300,000.00    ",Musobek,20.00,"65,000.00",260000,91000,65000
239,Integral servis,302528344,,Kamron,Abdulaziz," 8,000,000.00    ",Musobek,20.00,"400,000.00",1600000,560000,400000
240,FAROBIY 77,307860928,,Kamron,," 1,200,000.00    ",Musobek,20.00,,240000,84000,60000
241,ASIA PRO GROUP,,,Elbek,," 700,000.00    ",Musobek,20.00,,140000,49000,35000
242,TOSHMI DIAGNOSTIKA,,,Elbek,Abdulaziz," 1,200,000.00    ",Musobek,20.00,"60,000.00",240000,84000,60000
243,HALOL OSHPAZ,,,Elbek,Abdulaziz," 800,000.00    ",Musobek,20.00,"40,000.00",160000,56000,40000
244,HALOL OSHPAZ JAMOASI,,,Elbek,Abdulaziz, -      ,Musobek,20.00,0.00,0,0,0
245,AZIM DARYO,,,Humora,," 500,000.00    ",Go'zaloy,20.00,,100000,35000,25000
246,GIPPER LUVER,,,Humora,," 1,000,000.00    ",Go'zaloy,20.00,,200000,70000,50000
247,7 NEBO,,,Humora,," 500,000.00    ",Go'zaloy,20.00,,100000,35000,25000
248,SIRLY MCHJ,,,Kamron,," 500,000.00    ",Musobek,20.00,,100000,35000,25000
249,NOSIROV XOJIAKBAR YaTT,,,Kamron,," 500,000.00    ",Musobek,20.00,,100000,35000,25000
250,FAXRIDDIN SAODAT PHARM,,,Hasan,Ruslan," 2,000,000.00    ",Muslimbek,20.00,"100,000.00",400000,140000,100000
251,ALIMXANOV ABDURAZZOQ,,,Kamron,," 300,000.00    ",Musobek,20.00,,60000,21000,15000
252,,,,,,,,,,,,
253,SUHROBBEK PARIZODA,,,Kamron,," 1,000,000.00    ",Musobek,20.00,,200000,70000,50000
254,HARDPRESS CNC,312340250,,Kamron,,"500,000.00",Musobek,20.00,,100000,35000,25000
255,SAHARA UTD,,,Kamron,,"500,000.00",Musobek,20.00,,100000,35000,25000
256,BRR OIL BIZNES,,,Muslimbek,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
257,IBRAGIMOV SALE,,,Mirahmad,Azizbek,"3,500,000.00",Muslimbek,20.00,"175,000.00",700000,245000,175000
258,GREAT KOMAX,,,Muslimbek,,"5,000,000.00",Go'zaloy,20.00,,1000000,350000,250000
259,VULKAN TRADE,,,Zamira,,"700,000.00",Go'zaloy,20.00,,140000,49000,35000
260,E DOKON,,,Zamira,,"700,000.00",Go'zaloy,20.00,,140000,49000,35000
261,VT TRAVEL,,,Zamira,,"1,000,000.00",Go'zaloy,20.00,,200000,70000,50000
262,RF BUILDINGS,,,Maxmuda,,"500,000.00",Go'zaloy,20.00,,100000,35000,25000
263,AIFREIGHT,,,Go'zaloy,,"700,000.00",Muslimbek,20.00,,140000,49000,35000
264,Infinity group in industry,,,Go'zaloy,,"1,000,000.00",Muslimbek,20.00,,200000,70000,50000
,NUR UP,,,Olloshukur,,"2,000,000.00",Go'zaloy,20.00,,400000,140000,100000
,BUNYOD CHORBOG,,,Alisher,,"1,500,000.00",Musobek,20.00,,300000,105000,75000
,BUNYOD OMAD SERVISE,,,Alisher,,"1,500,000.00",Musobek,20.00,,300000,105000,75000
,BUNYOD SULTON SHOX,,,Alisher,,0.00,Musobek,20.00,,0,0,0
,TASHMATOV GROUP,,,Mohirbek,,"1,500,000.00",Musobek,20.00,,300000,105000,75000
,EFFSARI,,,Hasan,,,Muslimbek,20.00,,0,0,0
,ELMIR FOOD CORP,,,Alisher,,"1,500,000.00",Musobek,20.00,,300000,105000,75000
,YULDUZ ALIBAYEVA YATT,,,Sevara,,,Zamira,20.00,,0,0,0
,OILL SEVEN,,,Muslimbek,,"5,000,000.00",Go'zaloy,20.00,,1000000,350000,250000
,FITLINE FITNES CENTR,,,Go'zaloy,,"4,000,000.00",Muslimbek,20.00,,800000,280000,200000
,ECO ZELEN,,,Mirahmad,,"2,000,000.00",Go'zaloy,20.00,,400000,140000,100000
,GRAND CANYON HOTEL,,,Alisher,,"2,000,000.00",Musobek,20.00,,400000,140000,100000
,GREEN ENERGY MUXRIDDIN,,,Kamron,,"3,000,000.00",Musobek,20.00,,600000,210000,150000
,SINHAI,,,Otabek,,"1,500,000.00",Muslimbek,20.00,,300000,105000,75000
,XASHAMATLI SAROY,,,Mohirbek,,"500,000.00",Musobek,20.00,,100000,35000,25000
,INTEGRATION,,,Mohirbek,,"500,000.00",Musobek,20.00,,100000,35000,25000
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"652,820,000.00",,," 19,955,000.00    "," 109,674,000.00    "," 44,757,400.00    "," 28,791,000.00    "
,,,,,,"639,020,000.00",,,,,,
